cod_produto;nr_produto;aplicacao;cod_linha;desc_linha;cod_grupo;desc_grupo;cod_segmentacao;desc_segmentacao
10466;16200010006;ABRACADEIRA INSULOK PRETA(10 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10476;16200110000;ABRACADEIRA INSULOK PRETA 13,0X540MM;418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10467;16200020001;ABRACADEIRA INSULOK PRETA(15 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10468;16200030007;ABRACADEIRA INSULOK PRETA(20 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10469;16200040002;ABRACADEIRA INSULOK PRETA(23 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10470;16200050008;ABRACADEIRA INSULOK PRETA(28 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10475;16200100005;ABRACADEIRA INSULOK PRETA 390X7,6MM (USAR EM COIFAS);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10471;16200060003;ABRACADEIRA INSULOK PRETA(39 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10199;16120010000;ABRACADEIRA INSULOK T18-R BRANCA(10 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10200;16120020005;ABRACADEIRA INSULOK T30-R BRANCA(15 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10204;16120060007;ABRACADEIRA INSULOK T50-L BRANCA(39 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10201;16120030000;ABRACADEIRA INSULOK T50-R BRANCA(20 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10202;16120040006;ABRACADEIRA INSULOK T50RL BRANCA(23 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
10203;16120050001;ABRACADEIRA INSULOK T80-M BRANCA(28 CM);418;ABRACADEIRAS;034.016;ABRACADEIRA INSULOK;6;LINHA LEVE/ULTILITARIOS
2881;04800092000;ABRACADEIRA LACRE 9MM X 200MM;418;ABRACADEIRAS;225;ABRACADEIRA LACRE;6;LINHA LEVE/ULTILITARIOS
2856;04600200003;ABRACADEIRA BORRACHA 20MM FITA 15MM;418;ABRACADEIRAS;292;ABRACADEIRA MANGUEIRA;6;LINHA LEVE/ULTILITARIOS
54634;04620120161;ABRACADEIRA BORBOLETA 12X16 (1/2X5/8) FITA 9MM;418;ABRACADEIRAS;258;ABRACADEIRA ROSCA SEM FIM FITA;6;LINHA LEVE/ULTILITARIOS
54635;04620130191;ABRACADEIRA BORBOLETA 13X19 (1/2X3/4) FITA 9MM;418;ABRACADEIRAS;258;ABRACADEIRA ROSCA SEM FIM FITA;6;LINHA LEVE/ULTILITARIOS
